Age,Fare,Pclass,Sex,Embarked,Survived
56,116.14,2,male,C,1
69,226.13,1,female,Q,0
46,120.93,2,female,Q,1
32,249.6,1,female,C,0
60,172.88,1,female,S,1
25,23.74,3,female,Q,0
78,15.86,3,male,C,0
38,44.49,3,female,S,0
56,9.03,3,female,Q,1
75,27.23,3,female,Q,0
36,209.06,3,male,S,1
40,162.63,1,female,S,0
28,226.22,3,male,C,0
28,274.38,2,female,C,0
41,177.62,3,female,Q,1
70,219.21,3,male,S,1
53,228.34,3,female,S,1
57,116.47,1,male,S,0
41,76.12,3,male,Q,1
20,65.49,3,male,S,1
39,79.18,1,female,S,0
70,86.05,2,female,Q,1
19,66.13,3,female,C,1
41,264.08,1,male,C,1
61,228.31,3,female,Q,1
47,18.83,2,male,S,0
55,84.26,1,female,Q,0
19,11.54,3,male,C,1
77,151.96,2,male,C,0
38,145.48,3,male,Q,1
50,250.25,1,female,Q,1
29,95.79,1,male,C,1
75,245.83,3,male,Q,1
39,290.55,3,male,C,0
78,31.08,3,male,Q,0
61,238.59,3,male,Q,0
42,179.04,3,male,Q,0
66,146.61,1,female,C,0
44,129.06,2,female,Q,0
76,236.48,3,male,C,1
59,193.61,3,female,C,1
45,242.49,3,female,Q,0
77,271.43,2,male,Q,0
33,187.09,2,male,C,1
32,294.24,3,male,C,0
79,184.39,3,female,S,0
79,192.81,3,male,C,0
64,168.67,3,female,S,0
79,31.85,3,male,S,0
68,219.29,1,female,S,1
61,166.5,2,male,Q,0
72,138.02,1,male,Q,0
69,273.59,2,female,C,0
74,92.9,3,female,S,0
20,159.46,2,female,Q,1
54,210.8,3,female,Q,1
68,239.96,1,female,Q,1
24,140.51,2,female,Q,0
38,253.42,2,male,Q,1
26,231.83,2,female,S,1
56,24.54,3,male,S,1
35,18.53,2,male,S,0
21,188.14,3,female,S,0
42,107.49,1,male,C,0
77,66.69,1,female,S,1
31,176.0,2,female,Q,0
67,105.76,3,male,S,0
75,163.49,3,male,C,1
26,140.74,2,female,Q,1
43,177.51,2,female,S,1
70,123.09,3,male,S,0
19,210.81,1,male,S,1
37,58.12,2,male,Q,0
45,210.47,3,male,Q,0
64,126.44,3,female,C,0
77,262.92,2,female,Q,0
24,156.99,3,female,Q,0
61,292.07,3,female,S,1
78,182.57,2,male,Q,0
25,71.04,3,male,S,1
64,247.43,3,female,S,0
52,106.8,2,female,Q,0
31,107.55,2,female,C,0
34,14.38,2,female,C,0
53,166.87,3,female,Q,0
67,162.65,2,female,C,0
57,110.02,3,female,S,0
21,268.79,3,female,S,0
19,42.98,1,female,Q,0
79,102.38,3,male,C,1
23,99.87,2,female,C,0
71,32.23,3,male,S,1
59,146.94,3,male,Q,1
21,207.9,2,female,C,1
71,155.94,2,female,Q,1
46,51.31,1,male,C,0
35,116.3,1,male,S,1
43,5.77,2,female,S,1
61,261.15,2,male,Q,0
51,29.93,3,female,S,0
27,181.2,2,female,C,0
79,295.95,2,female,S,1
53,163.29,3,male,Q,1
31,277.59,1,male,Q,0
48,74.65,3,female,Q,0
65,229.19,3,male,C,0
32,161.72,3,male,C,0
25,217.55,1,male,C,1
31,23.39,2,male,C,0
40,48.58,2,male,C,0
77,44.27,3,male,S,0
74,207.71,1,male,C,1
79,254.11,2,female,C,0
57,226.14,3,male,S,1
38,13.99,2,male,C,0
33,260.83,2,male,Q,0
62,109.47,1,male,C,0
35,122.16,3,male,C,0
64,35.94,1,male,Q,0
70,222.53,3,male,Q,1
41,58.77,3,male,Q,1
43,171.37,2,female,Q,1
42,253.01,3,male,C,0
77,31.32,1,male,Q,1
77,162.92,2,male,Q,0
77,73.8,3,male,S,0
62,106.16,3,female,Q,0
58,144.82,3,female,Q,0
46,109.76,3,female,S,1
32,196.4,1,female,S,0
62,146.48,1,female,C,0
18,177.34,1,female,S,1
42,222.36,2,female,C,0
24,169.53,2,female,S,0
26,178.03,2,female,S,0
41,171.52,2,female,C,1
18,116.74,2,female,S,1
61,104.55,3,female,C,0
25,270.4,3,female,S,0
41,184.23,2,female,Q,0
28,77.08,3,female,S,1
